Column1.taxCode,Column1.description,Column1.parentTaxCode,Column1.isPhysical,Column1.isActive
PA020100,Agricultural-commercial use-Machinery and Equipment,PA020000,VERDADEIRO,VERDADEIRO
PB100000,Books / Manuals,P0000000,VERDADEIRO,VERDADEIRO
PB100100,educational,PB100000,VERDADEIRO,FALSO
PB100200,Books / Manuals-other,PB100000,VERDADEIRO,VERDADEIRO
PC020000,Child Car Seats & Restraints,P0000000,VERDADEIRO,VERDADEIRO
PC030100,Clothing And Related Products (Business-To-Business)-general,PC030000,VERDADEIRO,VERDADEIRO
PC030101,Clothing And Related Products (Business-To-Business)-Aprons - household ,PC030100,VERDADEIRO,VERDADEIRO
PC030103,Clothing And Related Products (Business-To-Business)-Athletic supporters,PC030100,VERDADEIRO,VERDADEIRO
PC030105,Clothing And Related Products (Business-To-Business)-Bandanas,PC030100,VERDADEIRO,VERDADEIRO
PC030106,Clothing And Related Products (Business-To-Business)-Bathing suits and caps,PC030100,VERDADEIRO,VERDADEIRO
PC030108,Clothing And Related Products (Business-To-Business)-Belts and suspenders,PC030100,VERDADEIRO,VERDADEIRO
PC030109,Clothing And Related Products (Business-To-Business)-Bibs,PC030100,VERDADEIRO,VERDADEIRO
PC030110,Clothing And Related Products (Business-To-Business)-Boots,PC030100,VERDADEIRO,VERDADEIRO
PC030111,Clothing And Related Products (Business-To-Business)-Coats and jackets,PC030110,VERDADEIRO,VERDADEIRO
PC030113,Clothing And Related Products (Business-To-Business)-Coveralls,PC030110,VERDADEIRO,VERDADEIRO
PC030115,Clothing And Related Products (Business-To-Business)-Dress shields,PC030110,VERDADEIRO,VERDADEIRO
PC030116,Clothing And Related Products (Business-To-Business)-Ear muffs,PC030110,VERDADEIRO,VERDADEIRO
PC030117,Clothing And Related Products (Business-To-Business)-Foot lets,PC030110,VERDADEIRO,VERDADEIRO
PC030118,Clothing And Related Products (Business-To-Business)-Formal wear (not rented),PC030110,VERDADEIRO,VERDADEIRO
PC030119,Clothing And Related Products (Business-To-Business)-Galoshes,PC030110,VERDADEIRO,VERDADEIRO
PC030120,Clothing And Related Products (Business-To-Business)-Garters and garter belts,PC030100,VERDADEIRO,VERDADEIRO
PC030121,Clothing And Related Products (Business-To-Business)-Girdles,PC030120,VERDADEIRO,VERDADEIRO
PC030122,Clothing And Related Products (Business-To-Business)-Gloves for general use - cloth,PC030120,VERDADEIRO,VERDADEIRO
PC030123,Clothing And Related Products (Business-To-Business)-Gloves for general use - leather,PC030120,VERDADEIRO,VERDADEIRO
PC030124,Clothing And Related Products (Business-To-Business)-Gloves for general use - kid,PC030120,VERDADEIRO,VERDADEIRO
PC030125,Clothing And Related Products (Business-To-Business)-Gloves for general use - sheepskin,PC030120,VERDADEIRO,VERDADEIRO
PC030126,Clothing And Related Products (Business-To-Business)-Gloves for general use - fur,PC030120,VERDADEIRO,VERDADEIRO
PC030127,Clothing And Related Products (Business-To-Business)-Gloves for general use - rubber,PC030120,VERDADEIRO,VERDADEIRO
PC030128,Clothing And Related Products (Business-To-Business)-Golf clothing,PC030120,VERDADEIRO,VERDADEIRO
PC030129,Clothing And Related Products (Business-To-Business)-Hats and caps,PC030120,VERDADEIRO,VERDADEIRO
PC030130,Clothing And Related Products (Business-To-Business)-Hosiery,PC030100,VERDADEIRO,VERDADEIRO
PC030131,Clothing And Related Products (Business-To-Business)-Insoles for shoes,PC030130,VERDADEIRO,VERDADEIRO
PC030133,Clothing And Related Products (Business-To-Business)-Leather wearing apparel,PC030130,VERDADEIRO,VERDADEIRO
PC030134,Clothing And Related Products (Business-To-Business)-Neckties,PC030130,VERDADEIRO,VERDADEIRO
PC030135,Clothing And Related Products (Business-To-Business)-Nightgowns,PC030130,VERDADEIRO,VERDADEIRO
PC030200,Clothing And Related Products (Business-To-Business)-accessories or equipment,PC030000,VERDADEIRO,VERDADEIRO
PC030201,Clothing And Related Products (Business-To-Business)-Briefcases,PC030200,VERDADEIRO,VERDADEIRO
PC030202,Clothing And Related Products (Business-To-Business)-Cosmetics,PC030200,VERDADEIRO,VERDADEIRO
PC030203,"Hair notions, including, but not limited to barrettes, hair Clothing And Related Products (Business-To-Business)-bows, and hair nets",PC030200,VERDADEIRO,VERDADEIRO
PC030204,Clothing And Related Products (Business-To-Business)-Handbags,PC030200,VERDADEIRO,VERDADEIRO
PC030205,Clothing And Related Products (Business-To-Business)-Handkerchiefs,PC030200,VERDADEIRO,VERDADEIRO
PC030206,Clothing And Related Products (Business-To-Business)-Jewelry,PC030200,VERDADEIRO,VERDADEIRO
PC030207,"Clothing And Related Products (Business-To-Business)-Sunglasses, non-prescription",PC030200,VERDADEIRO,VERDADEIRO
PC030208,Clothing And Related Products (Business-To-Business)-Umbrellas,PC030200,VERDADEIRO,VERDADEIRO
PC030209,Clothing And Related Products (Business-To-Business)-Wallets,PC030200,VERDADEIRO,VERDADEIRO
PC030210,Clothing And Related Products (Business-To-Business)-Watches,PC030200,VERDADEIRO,VERDADEIRO
PC030300,Clothing And Related Products (Business-To-Business)-protective equipment,PC030000,VERDADEIRO,VERDADEIRO
PC030301,Clothing And Related Products (Business-To-Business)-Breathing masks,PC030300,VERDADEIRO,VERDADEIRO
PC030302,Clothing And Related Products (Business-To-Business)-Clean room apparel and equipment,PC030300,VERDADEIRO,VERDADEIRO
PC030303,Clothing And Related Products (Business-To-Business)-Ear and hearing protectors,PC030300,VERDADEIRO,VERDADEIRO
PC030304,Clothing And Related Products (Business-To-Business)-Face shields,PC030300,VERDADEIRO,VERDADEIRO
PC030305,Clothing And Related Products (Business-To-Business)-Hard hats,PC030300,VERDADEIRO,VERDADEIRO
PC030306,Clothing And Related Products (Business-To-Business)-Helmets (athletic),PC030300,VERDADEIRO,VERDADEIRO
PC030307,Clothing And Related Products (Business-To-Business)-Helmets (bicycle),PC030300,VERDADEIRO,VERDADEIRO
PC030308,Clothing And Related Products (Business-To-Business)-Helmets (motorcycle),PC030300,VERDADEIRO,VERDADEIRO
PC030309,Clothing And Related Products (Business-To-Business)Helmets (other),PC030300,VERDADEIRO,VERDADEIRO
PC030310,Clothing And Related Products (Business-To-Business)-Helmets (snowmobile),PC030300,VERDADEIRO,VERDADEIRO
PC030311,Clothing And Related Products (Business-To-Business)-Paint or dust respirators,PC030310,VERDADEIRO,VERDADEIRO
PC030400,Clothing And Related Products (Business-To-Business)-Sports/recreational equipment,PC030000,VERDADEIRO,VERDADEIRO
PC030401,Clothing And Related Products (Business-To-Business)-Ballet and tap shoes,PC030400,VERDADEIRO,VERDADEIRO
PC030402,Clothing And Related Products (Business-To-Business)-Cleated or spiked athletic shoes,PC030400,VERDADEIRO,VERDADEIRO
PC030403,"Clothing And Related Products (Business-To-Business)-Gloves including baseball, bowling, boxing, hockey, golf",PC030400,VERDADEIRO,VERDADEIRO
PC030404,Clothing And Related Products (Business-To-Business)-Goggles,PC030400,VERDADEIRO,VERDADEIRO
PC030405,Clothing And Related Products (Business-To-Business)-Gym suits,PC030400,VERDADEIRO,VERDADEIRO
PC030406,Clothing And Related Products (Business-To-Business)-Hand and elbow guards,PC030400,VERDADEIRO,VERDADEIRO
PC030407,"Clothing And Related Products (Business-To-Business)-Jogging outfits, sweat suits",PC030400,VERDADEIRO,VERDADEIRO
PC030408,Clothing And Related Products (Business-To-Business)-Life preservers and vest,PC030400,VERDADEIRO,VERDADEIRO
PC030409,Clothing And Related Products (Business-To-Business)-Mouth guards,PC030400,VERDADEIRO,VERDADEIRO
PC030410,Clothing And Related Products (Business-To-Business)-Roller and ice skates,PC030400,VERDADEIRO,VERDADEIRO
PC030411,Clothing And Related Products (Business-To-Business)-Shin guards,PC030410,VERDADEIRO,VERDADEIRO
PC030412,Clothing And Related Products (Business-To-Business)-Shoulder pads,PC030410,VERDADEIRO,VERDADEIRO
PC030413,Clothing And Related Products (Business-To-Business)-Ski boots,PC030410,VERDADEIRO,VERDADEIRO
PC030500,Clothing And Related Products (Business-To-Business)-childrens only,PC030000,VERDADEIRO,VERDADEIRO
PF040100,Flags-American,PF040000,VERDADEIRO,VERDADEIRO
PF050000,Food And Food Ingredients (Non-Prepared Foods) - Sold By Qualified Food Retailer,P0000000,VERDADEIRO,FALSO
PF050100,Food And Food Ingredients-beverages (carbonated beverages),PF050000,VERDADEIRO,VERDADEIRO
PF050201,Food And Food Ingredients-beverages (non-carbonated beverages)-100% juice content,PF050200,VERDADEIRO,VERDADEIRO
PF050300,Food And Food Ingredients-candy,PF050000,VERDADEIRO,VERDADEIRO
PF050401,"Food combo pack #1 - Food 51%-74%, Hard goods 26%-49%",PF050400,VERDADEIRO,VERDADEIRO
PF050402,"Food combo pack #2 - Food 75%-89%, Hard goods 11%-25%",PF050400,VERDADEIRO,VERDADEIRO
PF050403,"Food combo pack #3 - Food 90%-99%, Hard goods 1%-10%",PF050400,VERDADEIRO,VERDADEIRO
PF050404,"Food combo pack #4- Food 51%-74%, Candy 26%-49%",PF050400,VERDADEIRO,VERDADEIRO
PF050405,"Food combo pack #5 - Food 75%-89%, Candy 11%-25%",PF050400,VERDADEIRO,VERDADEIRO
PF050406,"Food combo pack #6 - Food 90%-99%, Candy 1%-10%",PF050400,VERDADEIRO,VERDADEIRO
PF050407,"Food combo pack #7 - Food 1%-50%, Candy 50%-99%",PF050400,VERDADEIRO,VERDADEIRO
PF050408,"Food And Food Ingredients-Candy-Food combo pack #8 - Food 0%-50%, Candy 1%-89%, Hard goods 11%-49% ",PF050400,VERDADEIRO,VERDADEIRO
PF050409,"Food And Food Ingredients-Candy-Food combo pack #9 - Food 0%-50%, Candy 1%-99%, Hard goods 1%-10% ",PF050400,VERDADEIRO,VERDADEIRO
PF050410,"Food And Food Ingredients-Candy-Food combo pack #10 - Food 0%-50%, Candy 0%-50%, Hard goods 50%-100% ",PF050400,VERDADEIRO,VERDADEIRO
PF050411,"Food And Food Ingredients-Candy-Food combo pack #11 - Food 51%-74%, Candy 26%-49%, Hard goods 1%-10% ",PF050410,VERDADEIRO,VERDADEIRO
PF050700,Food And Food Ingredients-dietary supplements (supplement facts on label),PF050000,VERDADEIRO,VERDADEIRO
PF050701,Food And Food Ingredients-dietary supplements (supplement facts on label)-Amino acids,PF050700,VERDADEIRO,VERDADEIRO
PF050702,Food And Food Ingredients-dietary supplements (supplement facts on label)-Antioxidants,PF050700,VERDADEIRO,VERDADEIRO
PF050800,"Food And Food Ingredients-health food (specialty, nutritional supplement)",PF050000,VERDADEIRO,FALSO
PF050801,"Food And Food Ingredients-health food (specialty, nutritional supplement)-Acidophilus milk products",PF050800,VERDADEIRO,VERDADEIRO
PH050101,Health Care Products-Drugs for human use without a prescription,PH050100,VERDADEIRO,VERDADEIRO
