Item Id,Item Name,Product Category,Tax Code,Tax Code Description,Confidence
a156g0000032J4aAAE,Individual Education Subscription,Education Subscription,ST087650,Training / Webinar / SaaS Platform / Subscription / No download,high
a156g0000032LDeAAM,ECCHO - Full Member Dues (Prorated for Goldman Sachs),Membership Dues,OD020500,"Dues (Social, Fraternal, non-entertainment)",high
a156g0000032MCNAA2,ECCHO Associate Member Quarterly Dues ($20B up to $60B deposit tier),Membership Dues,OD020500,"Dues (Social, Fraternal, non-entertainment)",high
a156g0000032PS8AAM,ECCHO Participating Member Dues (Prorated for TCF Acquisition),Membership Dues,OD020500,"Dues (Social, Fraternal, non-entertainment)",high
a156g0000032k2gAAA,Recording: All You Wanted To Know About Check Adjustments,Webinar/Webcast (Pre-recorded),ST087640,"Training / Webinar Only / SaaS Platform / Pre-recorded, Non-Subscription",high
a156g0000035yhPAAQ,ECCHO - Associate Membership,Membership Dues,OD020500,"Dues (Social, Fraternal, non-entertainment)",high
a156g0000035yhRAAQ,ECCHO - Placeholder Associate Membership Item,Membership Dues,OD020500,"Dues (Social, Fraternal, non-entertainment)",high
a156g0000035yhSAAQ,ECCHO - Placeholder Participating Membership,Membership Dues,OD020500,"Dues (Social, Fraternal, non-entertainment)",high
a156g0000035yhkAAA,What do I do when: Indorsement Claims,Online Training,ST087634,Online Training,high
a156g0000035yhpAAA,What do I do when: RDC Indemnity 101,Online Training,ST087634,Online Training,high
a156g0000035yhqAAA,What do I do when: Unauthorized Remotely Created Check (URCC),Online Training,ST087634,Online Training,high
a156g0000035yhzAAA,All About Check: Check Basics: What Every Banker Should Know,Online Training,ST087634,Online Training,high
a156g0000035yi4AAA,NCP Exam Rollover Fee (early),Exam/Certification Fee,ST080010,Online Skill Assessments,high
a156g0000035yi5AAA,NCP Exam Rollover Fee (late),Exam/Certification Fee,ST080010,Online Skill Assessments,high
a156g0000035yi6AAA,NCP 10th Anniversary Paper Weight,Merchandise/Tangible Goods,P0000000,Tangible Personal Property (TPP),high
a156g0000035yi7AAA,NCP 10th Anniversary Umbrella,Merchandise/Tangible Goods,P0000000,Tangible Personal Property (TPP),high
a156g0000035yiAAAQ,NCP Leather Cord Keeper,Merchandise/Tangible Goods,P0000000,Tangible Personal Property (TPP),high
a156g0000035yiBAAQ,All About Check: Check Scanning: Branch and Teller Capture,Online Training,ST087634,Online Training,high
a156g0000035yiFAAQ,NCP Exam Rollover Fee (repeat),Exam/Certification Fee,ST080010,Online Skill Assessments,high
a156g0000035yiHAAQ,NCP Sports Bag,Merchandise/Tangible Goods,P0000000,Tangible Personal Property (TPP),high
a156g0000035yiIAAQ,All About Check: Uniform Commercial Code: Articles 3 & 4,Online Training,ST087634,Online Training,high
a156g0000035yiKAAQ,All About Check: Where is the Rule Book?,Online Training,ST087634,Online Training,high
a156g0000035yiPAAQ,Recording: #UCC - Today's Trending Topics,Webinar/Webcast (Pre-recorded),ST087640,"Training / Webinar Only / SaaS Platform / Pre-recorded, Non-Subscription",high
a156g0000035yiRAAQ,Recording: Check Pain Points,Webinar/Webcast (Pre-recorded),ST087640,"Training / Webinar Only / SaaS Platform / Pre-recorded, Non-Subscription",high
a156g0000035yiSAAQ,Corporate Education Subscription,Education Subscription,ST087650,Training / Webinar / SaaS Platform / Subscription / No download,high
a156g0000035yiaAAA,NCP Session Application Fee,Training/Workshop,ST080000,Training and Seminar,high
a156g0000035yjOAAQ,NCP Exam 2025,Exam/Certification Fee,ST080010,Online Skill Assessments,high
a156g0000035yktAAA,ECCHO - Full Member Dues,Membership Dues,OD020500,"Dues (Social, Fraternal, non-entertainment)",high
a156g0000035ylBAAQ,ECCHO - Participating Member Dues,Membership Dues,OD020500,"Dues (Social, Fraternal, non-entertainment)",high
a156g0000035ylSAAQ,ECCHO - Sponsored Member Dues,Membership Dues,OD020500,"Dues (Social, Fraternal, non-entertainment)",high
a156g000004HXbIAAW,NCP Power Bank,Merchandise/Tangible Goods,P0000000,Tangible Personal Property (TPP),high
a156g000004HbNyAAK,NCP Golf Hat,Merchandise - Clothing,PC040100,Clothing And Related Products (Business-To-Customer)-general,high
a156g000004HlxDAAS,Discount,Discount,OD010000,Discounts,high
a156g000004Hly1AAC,Check Adjustments Insights into Investigation Types (ITYPs),Online Training,ST087634,Online Training,high
a156g000004Hly6AAC,Principles and Concepts of Image Cash Letters and Electronic Check Adjustments,Online Training,ST087634,Online Training,high
a156g000004HsNaAAK,Recording: Float in Today's Payments Industry,Webinar/Webcast (Pre-recorded),ST087640,"Training / Webinar Only / SaaS Platform / Pre-recorded, Non-Subscription",high
a156g000004HwkbAAC,Recording: All About ECI's,Webinar/Webcast (Pre-recorded),ST087640,"Training / Webinar Only / SaaS Platform / Pre-recorded, Non-Subscription",high
a156g000004SxZnAAK,5 for 4 NCP Workshop Bundle,Training/Workshop,ST080000,Training and Seminar,high
a156g000004Sz51AAC,ECCHO Participating Member Join Fee (Reduced),Membership Dues,OD020500,"Dues (Social, Fraternal, non-entertainment)",high
a156g000004T0krAAC,ECCHO Full Member Dues,Membership Dues,OD020500,"Dues (Social, Fraternal, non-entertainment)",high
a156g000004T3suAAC,NCP Exam Bundle - 3 for 2 (ECCHO Member Rate),Exam/Certification Fee,ST080010,Online Skill Assessments,high
a156g000004T4cqAAC,Recording: HIDC Scenarios: Dup vs RDC,Webinar/Webcast (Pre-recorded),ST087640,"Training / Webinar Only / SaaS Platform / Pre-recorded, Non-Subscription",high
a156g000004T5cmAAC,2022 Prorated PM Dues (Central Bank MO),Membership Dues,OD020500,"Dues (Social, Fraternal, non-entertainment)",high
a156g000004T9qHAAS,NCP Partnership - Silver Level,Sponsorship,SA030000,Advertising Services - No Transfer of TPP,high
a156g000004T9qRAAS,NCP Partnership - Gold Level,Sponsorship,SA030000,Advertising Services - No Transfer of TPP,high
a156g000004T9qbAAC,NCP Partnership - Diamond Level,Sponsorship,SA030000,Advertising Services - No Transfer of TPP,high
a156g000004T9qqAAC,ECCHO Rules Book - Printed Advertisement,Book/Manual,PB100000,Books / Manuals,high
a156g000004TLVaAAO,Recording: Learning to Navigate the FFIEC,Webinar/Webcast (Pre-recorded),ST087640,"Training / Webinar Only / SaaS Platform / Pre-recorded, Non-Subscription",high
a156g000004TNTlAAO,(A) ECCHO Reception,Meal/Food Event,SF096370,Catering Services,high
a156g000004TNU5AAO,(B) ECCHO Operations Committee Meeting,Conference/Event Registration,OA020500,Admissions / Events Other Than Entertainment or Amusement,high
a156g000004TNUeAAO,(C) ECCHO Roundtable,Conference/Event Registration,OA020500,Admissions / Events Other Than Entertainment or Amusement,high
a156g000004TZzzAAG,Recording: X9 Standards for Check Image Exchange,Webinar/Webcast (Pre-recorded),ST087640,"Training / Webinar Only / SaaS Platform / Pre-recorded, Non-Subscription",high
a156g000004Tx2MAAS,Recording: UCC Warranties from A to U,Webinar/Webcast (Pre-recorded),ST087640,"Training / Webinar Only / SaaS Platform / Pre-recorded, Non-Subscription",high
a156g000004aYYYAA2,ECCHO - Full Member Dues (Prorated for First Citizens Bank),Membership Dues,OD020500,"Dues (Social, Fraternal, non-entertainment)",high
a156g000004ahuOAAQ,NCP Exam Missed Proctor Appointment (In-Person),Exam/Certification Fee,ST080010,Online Skill Assessments,high
a156g000004ahunAAA,NCP Exam Missed Proctor Appointment (OnVue),Exam/Certification Fee,ST080010,Online Skill Assessments,high
a156g000004r8x8AAA,ECCHO Operations Meeting Sponsorship,Sponsorship,SA030000,Advertising Services - No Transfer of TPP,high
a156g000004rPkjAAE,Recording: Understanding Check Returns,Webinar/Webcast (Pre-recorded),ST087640,"Training / Webinar Only / SaaS Platform / Pre-recorded, Non-Subscription",high
a156g000004rPlwAAE,Recording: What Should I Do When,Webinar/Webcast (Pre-recorded),ST087640,"Training / Webinar Only / SaaS Platform / Pre-recorded, Non-Subscription",high
a156g0000055WeZAAU,Recording: UCC Basics,Webinar/Webcast (Pre-recorded),ST087640,"Training / Webinar Only / SaaS Platform / Pre-recorded, Non-Subscription",high
